"Date","Windows","OS X","Unknown","Linux","Chrome OS","iOS","Android","Playstation","Other"
2009-01,95.42,3.68,0.17,0.64,0,0,0,0.08,0.02
2009-02,95.39,3.76,0.14,0.62,0,0,0,0.07,0.02
2009-03,95.22,3.87,0.16,0.65,0,0,0,0.08,0.02
2009-04,95.13,3.92,0.17,0.66,0,0,0,0.1,0.02
2009-05,95.25,3.75,0.24,0.65,0,0,0,0.09,0.02
2009-06,94.76,4.07,0.28,0.74,0,0,0,0.11,0.03
2009-07,94.83,4.12,0.13,0.76,0,0,0,0.14,0.02
2009-08,94.69,4.35,0.1,0.69,0,0,0,0.15,0.02
2009-09,94.61,4.44,0.1,0.7,0,0,0,0.12,0.03
2009-10,94.35,4.71,0.1,0.68,0,0,0,0.13,0.02
2009-11,93.98,4.96,0.17,0.72,0,0,0,0.14,0.03
2009-12,94.19,4.72,0.23,0.68,0,0,0,0.15,0.02
2010-01,93.76,5.16,0.2,0.7,0,0,0,0.15,0.02
2010-02,93.36,5.63,0.11,0.74,0,0,0,0.13,0.03
2010-03,93.17,5.78,0.11,0.78,0,0,0,0.13,0.03
2010-04,92.96,5.92,0.15,0.79,0,0,0,0.14,0.03
2010-05,93.04,5.77,0.18,0.81,0,0.03,0,0.14,0.03
2010-06,93.27,5.56,0.08,0.8,0,0.1,0,0.15,0.03
2010-07,93.29,5.53,0.08,0.77,0,0.14,0,0.15,0.03
2010-08,93.11,5.66,0.08,0.79,0,0.18,0,0.15,0.03
2010-09,92.88,5.9,0.08,0.78,0,0.2,0,0.14,0.02
2010-10,92.72,6.05,0.07,0.77,0,0.23,0,0.14,0.02
2010-11,92.51,6.22,0.07,0.78,0,0.26,0,0.13,0.02
2010-12,92.42,6.25,0.08,0.75,0,0.33,0,0.15,0.02
2011-01,92.02,6.56,0.07,0.74,0,0.44,0.01,0.15,0.02
2011-02,91.98,6.59,0.07,0.76,0,0.43,0.01,0.14,0.02
2011-03,92.01,6.53,0.07,0.76,0,0.46,0.02,0.13,0.02
2011-04,91.98,6.47,0.07,0.76,0,0.53,0.03,0.14,0.02
2011-05,91.95,6.35,0.08,0.81,0,0.61,0.04,0.15,0.02
2011-06,91.94,6.27,0.08,0.79,0,0.7,0.05,0.14,0.02
2011-07,91.87,6.23,0.07,0.76,0,0.83,0.07,0.15,0.03
2011-08,91.75,6.28,0.04,0.78,0,0.9,0.08,0.15,0.02
2011-09,91.11,6.78,0.06,0.8,0,1,0.08,0.15,0.02
2011-10,90.47,7.18,0.07,0.84,0,1.12,0.14,0.15,0.03
2011-11,90.5,7.05,0.04,0.84,0,1.24,0.15,0.14,0.04
2011-12,90.29,7.01,0.07,0.83,0,1.41,0.19,0.15,0.06
2012-01,89.62,7.33,0.07,0.82,0,1.71,0.24,0.14,0.07
2012-02,89.5,7.41,0.08,0.83,0,1.81,0.26,0.04,0.07
2012-03,89.37,7.32,0.14,0.83,0,1.89,0.28,0.06,0.1
2012-04,88.75,7.66,0.05,0.85,0,2.12,0.31,0.12,0.14
2012-05,88.81,7.45,0.05,0.86,0,2.24,0.33,0.12,0.14
2012-06,88.89,7.05,0.05,0.83,0,2.4,0.37,0.13,0.26
2012-07,88.85,6.92,0.06,0.83,0,2.64,0.4,0.13,0.16
2012-08,91.54,7.41,0.06,0.85,0.01,0,0.03,0,0.11
2012-09,91.18,7.75,0.06,0.88,0.01,0,0.02,0,0.11
2012-10,91.04,7.87,0.06,0.9,0.01,0,0.03,0,0.09
2012-11,91.02,7.86,0.06,0.9,0.01,0,0.05,0,0.09
2012-12,91.22,7.69,0.07,0.88,0.01,0,0.09,0,0.04
2013-01,90.96,7.95,0.07,0.88,0.01,0,0.12,0,0
2013-02,90.87,7.95,0.07,0.93,0.02,0,0.15,0,0.01
2013-03,91.16,7.7,0.08,0.95,0.02,0,0.08,0,0.01
2013-04,91.28,7.47,0.08,1.05,0.02,0,0.1,0,0
2013-05,90.84,7.61,0.09,1.28,0.02,0,0.15,0,0
2013-06,90.43,7.87,0.12,1.3,0.02,0,0.25,0,0.01
2013-07,90.49,7.81,0.08,1.23,0.03,0,0.35,0,0
2013-08,90.56,7.63,0.09,1.23,0.03,0,0.46,0,0
2013-09,90.89,7.41,0.1,1.02,0.04,0,0.54,0,0
2013-10,90.63,7.42,0.1,1.1,0.04,0,0.71,0,0
2013-11,90.34,7.45,0.11,1.15,0.05,0,0.9,0,0
2013-12,89.55,7.83,0.08,1.13,0.1,0,1.3,0,0.01
2014-01,88.87,8.35,0.05,1.13,0.14,0,1.45,0,0
2014-02,89.65,8.39,0.26,1.14,0.16,0,0.38,0,0
2014-03,89.61,8.58,0.47,1.16,0.18,0,0,0,0
2014-04,89.18,8.85,0.44,1.34,0.19,0,0,0,0
2014-05,88.83,8.85,0.54,1.58,0.19,0,0,0,0
2014-06,89.27,8.56,0.61,1.37,0.19,0,0,0,0
2014-07,89.25,8.59,0.63,1.34,0.19,0,0,0,0
2014-08,89.15,8.65,0.61,1.38,0.21,0,0,0,0
