"Date","Win7","WinXP","Win10","WinVista","Win8.1","Win8","Win11","Win2003","Win2000","Win98","Win8.1 RT","WinME","Other"
2009-01,0,78.45,0,19.93,0,0,0,0.34,0.97,0.19,0,0.1,0.01
2009-02,0.18,77.06,0,21.12,0,0,0,0.36,1,0.18,0,0.09,0.01
2009-03,0.27,76.5,0,21.66,0,0,0,0.36,0.94,0.18,0,0.09,0.01
2009-04,0.33,75.77,0,22.47,0,0,0,0.36,0.82,0.17,0,0.08,0.01
2009-05,0.56,75.27,0,22.71,0,0,0,0.5,0.73,0.15,0,0.07,0.01
2009-06,0.83,74.69,0,23,0,0,0,0.51,0.76,0.14,0,0.07,0.01
2009-07,1.04,73.76,0,23.95,0,0,0,0.36,0.69,0.13,0,0.07,0.01
2009-08,1.39,73,0,24.46,0,0,0,0.35,0.62,0.11,0,0.06,0.01
2009-09,1.78,72.39,0,24.69,0,0,0,0.36,0.6,0.11,0,0.06,0.01
2009-10,2.34,71.6,0,25.02,0,0,0,0.37,0.52,0.1,0,0.05,0.01
2009-11,4.31,69.91,0,24.45,0,0,0,0.73,0.45,0.09,0,0.05,0.01
2009-12,6.59,69.14,0,23.38,0,0,0,0.33,0.43,0.08,0,0.05,0
2010-01,8.93,67.69,0,22.53,0,0,0,0.33,0.4,0.07,0,0.04,0
2010-02,10.99,65.52,0,22.64,0,0,0,0.36,0.38,0.07,0,0.04,0
2010-03,12.8,64.08,0,22.24,0,0,0,0.38,0.39,0.07,0,0.04,0
2010-04,14.49,62.99,0,21.7,0,0,0,0.37,0.36,0.06,0,0.03,0
2010-05,15.95,62.36,0,20.91,0,0,0,0.36,0.34,0.06,0,0.03,0.01
2010-06,17.28,61.86,0,20.1,0,0,0,0.36,0.31,0.05,0,0.03,0.01
2010-07,19.14,60.37,0,19.79,0,0,0,0.34,0.28,0.05,0,0.02,0
2010-08,20.87,59.48,0,18.99,0,0,0,0.34,0.24,0.04,0,0.02,0
2010-09,22.74,58.45,0,18.18,0,0,0,0.34,0.22,0.04,0,0.02,0
2010-10,24.49,57.17,0,17.77,0,0,0,0.32,0.2,0.03,0,0.02,0.01
2010-11,26.07,55.96,0,17.41,0,0,0,0.32,0.19,0.03,0,0.02,0.01
2010-12,27.98,54.74,0,16.76,0,0,0,0.31,0.16,0.03,0,0.01,0.01
2011-01,30.08,53.01,0,16.41,0,0,0,0.3,0.16,0.02,0,0.01,0.01
2011-02,31.66,52.19,0,15.67,0,0,0,0.29,0.15,0.02,0,0.01,0.01
2011-03,33.26,51.43,0,14.85,0,0,0,0.29,0.14,0.02,0,0.01,0.01
2011-04,34.69,50.63,0,14.26,0,0,0,0.27,0.11,0.02,0,0.01,0.01
2011-05,36.12,49.85,0,13.62,0,0,0,0.28,0.1,0.02,0,0.01,0.01
2011-06,37.57,48.99,0,13.05,0,0,0,0.27,0.08,0.02,0,0.01,0.01
2011-07,39.25,47.77,0,12.59,0,0,0,0.26,0.09,0.02,0,0.01,0.01
2011-08,41.07,46.41,0,12.13,0,0,0,0.26,0.1,0.02,0,0.01,0.01
2011-09,42.85,44.55,0,12.21,0,0,0,0.27,0.1,0.01,0,0.01,0.01
2011-10,44.76,42.5,0,12.36,0,0,0,0.25,0.09,0.01,0,0.01,0.01
2011-11,45.44,41.89,0,12.29,0,0,0,0.26,0.09,0.01,0,0.01,0.01
2011-12,47.23,40.35,0,12.05,0,0,0,0.26,0.08,0.01,0,0.01,0.01
2012-01,49.17,38.8,0,11.66,0,0,0,0.26,0.08,0.01,0,0,0.01
2012-02,50.54,38.04,0,11.03,0,0,0,0.28,0.08,0.01,0,0,0.01
2012-03,52,37.47,0,10.13,0,0.02,0,0.28,0.07,0.01,0,0,0.01
2012-04,53.62,35.82,0,10.05,0,0.14,0,0.27,0.07,0.01,0,0,0.01
2012-05,55.09,34.98,0,9.43,0,0.15,0,0.26,0.06,0.01,0,0,0.01
2012-06,56.47,33.65,0,9.36,0,0.2,0,0.24,0.06,0.01,0,0,0.02
2012-07,57.56,32.75,0,9.13,0,0.22,0,0.26,0.05,0,0,0,0.02
2012-08,58.06,32.55,0,8.72,0,0.27,0,0.33,0.05,0,0,0,0.01
2012-09,59.35,31.43,0,8.62,0,0.32,0,0.21,0.05,0,0,0,0.01
2012-10,60.31,30.81,0,8.21,0,0.4,0,0.21,0.04,0,0,0,0.01
2012-11,60.71,29.92,0,7.97,0,1.14,0,0.2,0.04,0,0,0,0.01
2012-12,60.89,29.12,0,7.73,0,2.02,0,0.18,0.04,0,0,0,0.01
2013-01,61.16,28.05,0,7.61,0,2.92,0,0.2,0.04,0,0,0,0.01
2013-02,60.94,27.73,0,7.4,0,3.67,0,0.2,0.04,0,0,0,0.01
2013-03,60.99,27.1,0,7.11,0,4.52,0,0.22,0.05,0,0,0,0.01
2013-04,62.27,24.93,0,6.95,0,5.47,0,0.33,0.04,0,0,0,0.01
2013-05,61.95,24.85,0,6.65,0,6.13,0,0.36,0.04,0,0,0,0.01
2013-06,61.66,24.67,0,6.33,0,6.96,0,0.31,0.05,0,0,0,0.02
2013-07,61.65,24.03,0,6.15,0.02,7.77,0,0.3,0.04,0.01,0,0.01,0.02
2013-08,61.04,24.15,0,6.11,0.02,8.27,0,0.31,0.04,0.02,0,0.01,0.02
2013-09,60.64,24.02,0,6.18,0.04,8.7,0,0.33,0.04,0.02,0,0.01,0.02
2013-10,60.57,23.48,0,6.2,0.36,8.99,0,0.33,0.04,0.01,0,0.01,0.02
2013-11,61.02,22.73,0,5.72,1.31,8.85,0,0.28,0.04,0.02,0.02,0.01,0.02
2013-12,61.19,22.1,0,4.8,2.48,9.08,0,0.22,0.04,0.02,0.04,0.01,0.02
2014-01,61.17,21.53,0,4.45,3.62,8.9,0,0.19,0.03,0.02,0.06,0.01,0.02
2014-02,61.57,20.71,0,4.23,4.32,8.82,0,0.18,0.03,0.02,0.08,0.01,0.03
2014-03,61.02,20.77,0,4.09,5,8.76,0,0.17,0.04,0.01,0.09,0.01,0.03
2014-04,61.79,19.24,0,4,5.87,8.76,0,0.16,0.03,0.01,0.09,0.01,0.02
2014-05,61.98,18.2,0,3.96,6.94,8.57,0,0.16,0.04,0.02,0.1,0.01,0.02
2014-06,61.65,18.26,0,3.78,7.5,8.48,0,0.15,0.04,0.02,0.11,0.01,0.02
2014-07,62,16.97,0,3.94,8.34,8.42,0,0.14,0.03,0.02,0.11,0,0.02
2014-08,62.45,16.03,0,3.72,9.25,8.23,0,0.13,0.03,0.02,0.12,0.01,0.02
2014-09,61.99,16.27,0,3.55,10.11,7.74,0,0.14,0.03,0.02,0.12,0,0.02
2014-10,62.21,14.97,0.01,3.36,11.66,7.44,0,0.14,0.03,0.02,0.13,0,0.02
2014-11,63.01,13.38,0.01,3.38,13.7,6.13,0,0.14,0.03,0.02,0.16,0,0.02
2014-12,61.31,14.88,0.02,3.54,14.69,5.26,0,0.15,0.05,0.02,0.05,0,0.02
2015-01,61.99,13.59,0.05,3.05,16.19,4.9,0,0.14,0.04,0.02,0,0,0.02
2015-02,61.45,13.88,0.12,2.87,16.78,4.69,0,0.13,0.03,0.02,0,0,0.02
2015-03,61.68,12.88,0.14,2.7,17.83,4.58,0,0.12,0.02,0.01,0,0,0.03
2015-04,61.85,12.55,0.15,2.57,18.11,4.58,0,0.12,0.02,0.01,0,0,0.02
2015-05,61.67,12.25,0.16,2.59,18.57,4.54,0,0.13,0.02,0.02,0,0,0.03
2015-06,62.24,11.62,0.2,2.45,19.02,4.27,0,0.12,0.02,0.03,0,0,0.03
2015-07,62.31,11.41,0.41,2.28,19.2,4.2,0,0.13,0.02,0.03,0,0,0.02
